,Dependence,x1,x2,xF,QT,QM,Siv,tot_err
0,xF,0.3,0.5,-0.2,2.0,4.0,0,0
1,xF,0.30120240480961924,0.5,-0.19879759519038076,2.0,4.0,0,0
2,xF,0.3024048096192385,0.5,-0.1975951903807615,2.0,4.0,0,0
3,xF,0.3036072144288577,0.5,-0.19639278557114231,2.0,4.0,0,0
4,xF,0.30480961923847694,0.5,-0.19519038076152306,2.0,4.0,0,0
5,xF,0.3060120240480962,0.5,-0.1939879759519038,2.0,4.0,0,0
6,xF,0.30721442885771544,0.5,-0.19278557114228456,2.0,4.0,0,0
7,xF,0.30841683366733463,0.5,-0.19158316633266537,2.0,4.0,0,0
8,xF,0.3096192384769539,0.5,-0.19038076152304612,2.0,4.0,0,0
9,xF,0.31082164328657313,0.5,-0.18917835671342687,2.0,4.0,0,0
10,xF,0.3120240480961924,0.5,-0.18797595190380761,2.0,4.0,0,0
11,xF,0.31322645290581164,0.5,-0.18677354709418836,2.0,4.0,0,0
12,xF,0.31442885771543083,0.5,-0.18557114228456917,2.0,4.0,0,0
13,xF,0.3156312625250501,0.5,-0.18436873747494992,2.0,4.0,0,0
14,xF,0.31683366733466933,0.5,-0.18316633266533067,2.0,4.0,0,0
15,xF,0.3180360721442886,0.5,-0.18196392785571142,2.0,4.0,0,0
16,xF,0.31923847695390783,0.5,-0.18076152304609217,2.0,4.0,0,0
17,xF,0.32044088176352703,0.5,-0.17955911823647297,2.0,4.0,0,0
18,xF,0.3216432865731463,0.5,-0.17835671342685372,2.0,4.0,0,0
19,xF,0.32284569138276553,0.5,-0.17715430861723447,2.0,4.0,0,0
20,xF,0.3240480961923848,0.5,-0.17595190380761522,2.0,4.0,0,0
21,xF,0.325250501002004,0.5,-0.17474949899799602,2.0,4.0,0,0
22,xF,0.32645290581162323,0.5,-0.17354709418837677,2.0,4.0,0,0
23,xF,0.3276553106212425,0.5,-0.17234468937875752,2.0,4.0,0,0
24,xF,0.32885771543086173,0.5,-0.17114228456913827,2.0,4.0,0,0
25,xF,0.3300601202404809,0.5,-0.16993987975951907,2.0,4.0,0,0
26,xF,0.3312625250501002,0.5,-0.16873747494989982,2.0,4.0,0,0
27,xF,0.3324649298597194,0.5,-0.16753507014028057,2.0,4.0,0,0
28,xF,0.3336673346693387,0.5,-0.16633266533066132,2.0,4.0,0,0
29,xF,0.33486973947895793,0.5,-0.16513026052104207,2.0,4.0,0,0
30,xF,0.3360721442885771,0.5,-0.16392785571142288,2.0,4.0,0,0
31,xF,0.3372745490981964,0.5,-0.16272545090180363,2.0,4.0,0,0
32,xF,0.3384769539078156,0.5,-0.16152304609218437,2.0,4.0,0,0
33,xF,0.3396793587174349,0.5,-0.16032064128256512,2.0,4.0,0,0
34,xF,0.3408817635270541,0.5,-0.15911823647294587,2.0,4.0,0,0
35,xF,0.3420841683366733,0.5,-0.15791583166332668,2.0,4.0,0,0
36,xF,0.3432865731462926,0.5,-0.15671342685370743,2.0,4.0,0,0
37,xF,0.3444889779559118,0.5,-0.15551102204408818,2.0,4.0,0,0
38,xF,0.3456913827655311,0.5,-0.15430861723446893,2.0,4.0,0,0
39,xF,0.3468937875751503,0.5,-0.15310621242484967,2.0,4.0,0,0
40,xF,0.3480961923847695,0.5,-0.15190380761523048,2.0,4.0,0,0
41,xF,0.34929859719438877,0.5,-0.15070140280561123,2.0,4.0,0,0
42,xF,0.350501002004008,0.5,-0.14949899799599198,2.0,4.0,0,0
43,xF,0.3517034068136273,0.5,-0.14829659318637273,2.0,4.0,0,0
44,xF,0.35290581162324647,0.5,-0.14709418837675353,2.0,4.0,0,0
45,xF,0.3541082164328657,0.5,-0.14589178356713428,2.0,4.0,0,0
46,xF,0.35531062124248497,0.5,-0.14468937875751503,2.0,4.0,0,0
47,xF,0.3565130260521042,0.5,-0.14348697394789578,2.0,4.0,0,0
48,xF,0.3577154308617234,0.5,-0.14228456913827658,2.0,4.0,0,0
49,xF,0.35891783567134267,0.5,-0.14108216432865733,2.0,4.0,0,0
50,xF,0.3601202404809619,0.5,-0.13987975951903808,2.0,4.0,0,0
51,xF,0.36132264529058117,0.5,-0.13867735470941883,2.0,4.0,0,0
52,xF,0.3625250501002004,0.5,-0.13747494989979958,2.0,4.0,0,0
53,xF,0.3637274549098196,0.5,-0.13627254509018039,2.0,4.0,0,0
54,xF,0.36492985971943886,0.5,-0.13507014028056114,2.0,4.0,0,0
55,xF,0.3661322645290581,0.5,-0.13386773547094188,2.0,4.0,0,0
56,xF,0.36733466933867737,0.5,-0.13266533066132263,2.0,4.0,0,0
57,xF,0.3685370741482966,0.5,-0.13146292585170338,2.0,4.0,0,0
58,xF,0.3697394789579158,0.5,-0.1302605210420842,2.0,4.0,0,0
59,xF,0.37094188376753506,0.5,-0.12905811623246494,2.0,4.0,0,0
60,xF,0.3721442885771543,0.5,-0.12785571142284569,2.0,4.0,0,0
61,xF,0.37334669338677356,0.5,-0.12665330661322644,2.0,4.0,0,0
62,xF,0.3745490981963928,0.5,-0.12545090180360718,2.0,4.0,0,0
63,xF,0.375751503006012,0.5,-0.12424849699398799,2.0,4.0,0,0
64,xF,0.37695390781563126,0.5,-0.12304609218436874,2.0,4.0,0,0
65,xF,0.3781563126252505,0.5,-0.12184368737474949,2.0,4.0,0,0
66,xF,0.3793587174348697,0.5,-0.12064128256513029,2.0,4.0,0,0
67,xF,0.38056112224448896,0.5,-0.11943887775551104,2.0,4.0,0,0
68,xF,0.3817635270541082,0.5,-0.11823647294589179,2.0,4.0,0,0
69,xF,0.38296593186372746,0.5,-0.11703406813627254,2.0,4.0,0,0
70,xF,0.3841683366733467,0.5,-0.11583166332665329,2.0,4.0,0,0
71,xF,0.3853707414829659,0.5,-0.1146292585170341,2.0,4.0,0,0
72,xF,0.38657314629258516,0.5,-0.11342685370741484,2.0,4.0,0,0
73,xF,0.3877755511022044,0.5,-0.11222444889779559,2.0,4.0,0,0
74,xF,0.38897795591182366,0.5,-0.11102204408817634,2.0,4.0,0,0
75,xF,0.3901803607214429,0.5,-0.10981963927855709,2.0,4.0,0,0
76,xF,0.3913827655310621,0.5,-0.1086172344689379,2.0,4.0,0,0
77,xF,0.39258517034068136,0.5,-0.10741482965931864,2.0,4.0,0,0
78,xF,0.3937875751503006,0.5,-0.1062124248496994,2.0,4.0,0,0
79,xF,0.39498997995991986,0.5,-0.10501002004008014,2.0,4.0,0,0
80,xF,0.3961923847695391,0.5,-0.10380761523046089,2.0,4.0,0,0
81,xF,0.3973947895791583,0.5,-0.1026052104208417,2.0,4.0,0,0
82,xF,0.39859719438877755,0.5,-0.10140280561122245,2.0,4.0,0,0
83,xF,0.3997995991983968,0.5,-0.1002004008016032,2.0,4.0,0,0
84,xF,0.401002004008016,0.5,-0.098997995991984,2.0,4.0,0,0
85,xF,0.4022044088176353,0.5,-0.0977955911823647,2.0,4.0,0,0
86,xF,0.4034068136272545,0.5,-0.0965931863727455,2.0,4.0,0,0
87,xF,0.40460921843687375,0.5,-0.09539078156312625,2.0,4.0,0,0
88,xF,0.405811623246493,0.5,-0.094188376753507,2.0,4.0,0,0
89,xF,0.4070140280561122,0.5,-0.0929859719438878,2.0,4.0,0,0
90,xF,0.40821643286573145,0.5,-0.09178356713426855,2.0,4.0,0,0
91,xF,0.4094188376753507,0.5,-0.0905811623246493,2.0,4.0,0,0
92,xF,0.41062124248496995,0.5,-0.08937875751503005,2.0,4.0,0,0
93,xF,0.4118236472945892,0.5,-0.0881763527054108,2.0,4.0,0,0
94,xF,0.4130260521042084,0.5,-0.0869739478957916,2.0,4.0,0,0
95,xF,0.41422845691382765,0.5,-0.08577154308617235,2.0,4.0,0,0
96,xF,0.4154308617234469,0.5,-0.0845691382765531,2.0,4.0,0,0
97,xF,0.41663326653306615,0.5,-0.08336673346693385,2.0,4.0,0,0
98,xF,0.4178356713426854,0.5,-0.0821643286573146,2.0,4.0,0,0
99,xF,0.4190380761523046,0.5,-0.0809619238476954,2.0,4.0,0,0
100,xF,0.42024048096192385,0.5,-0.07975951903807615,2.0,4.0,0,0
101,xF,0.4214428857715431,0.5,-0.0785571142284569,2.0,4.0,0,0
102,xF,0.42264529058116235,0.5,-0.07735470941883765,2.0,4.0,0,0
103,xF,0.4238476953907816,0.5,-0.0761523046092184,2.0,4.0,0,0
104,xF,0.4250501002004008,0.5,-0.0749498997995992,2.0,4.0,0,0
105,xF,0.42625250501002004,0.5,-0.07374749498997996,2.0,4.0,0,0
106,xF,0.4274549098196393,0.5,-0.0725450901803607,2.0,4.0,0,0
107,xF,0.4286573146292585,0.5,-0.07134268537074151,2.0,4.0,0,0
108,xF,0.4298597194388778,0.5,-0.0701402805611222,2.0,4.0,0,0
109,xF,0.431062124248497,0.5,-0.06893787575150301,2.0,4.0,0,0
110,xF,0.43226452905811624,0.5,-0.06773547094188376,2.0,4.0,0,0
111,xF,0.4334669338677355,0.5,-0.0665330661322645,2.0,4.0,0,0
112,xF,0.4346693386773547,0.5,-0.06533066132264531,2.0,4.0,0,0
113,xF,0.435871743486974,0.5,-0.064128256513026,2.0,4.0,0,0
114,xF,0.4370741482965932,0.5,-0.06292585170340681,2.0,4.0,0,0
115,xF,0.43827655310621244,0.5,-0.06172344689378756,2.0,4.0,0,0
116,xF,0.4394789579158317,0.5,-0.06052104208416831,2.0,4.0,0,0
117,xF,0.4406813627254509,0.5,-0.05931863727454911,2.0,4.0,0,0
118,xF,0.44188376753507014,0.5,-0.05811623246492986,2.0,4.0,0,0
119,xF,0.4430861723446894,0.5,-0.05691382765531061,2.0,4.0,0,0
120,xF,0.44428857715430864,0.5,-0.05571142284569136,2.0,4.0,0,0
121,xF,0.4454909819639279,0.5,-0.05450901803607211,2.0,4.0,0,0
122,xF,0.4466933867735471,0.5,-0.053306613226452915,2.0,4.0,0,0
123,xF,0.44789579158316634,0.5,-0.052104208416833664,2.0,4.0,0,0
124,xF,0.4490981963927856,0.5,-0.05090180360721441,2.0,4.0,0,0
125,xF,0.4503006012024048,0.5,-0.04969939879759522,2.0,4.0,0,0
126,xF,0.4515030060120241,0.5,-0.04849699398797591,2.0,4.0,0,0
127,xF,0.4527054108216433,0.5,-0.047294589178356716,2.0,4.0,0,0
128,xF,0.45390781563126253,0.5,-0.046092184368737465,2.0,4.0,0,0
129,xF,0.4551102204408818,0.5,-0.044889779559118215,2.0,4.0,0,0
130,xF,0.456312625250501,0.5,-0.04368737474949902,2.0,4.0,0,0
131,xF,0.4575150300601203,0.5,-0.04248496993987971,2.0,4.0,0,0
132,xF,0.4587174348697395,0.5,-0.04128256513026052,2.0,4.0,0,0
133,xF,0.45991983967935873,0.5,-0.04008016032064127,2.0,4.0,0,0
134,xF,0.461122244488978,0.5,-0.038877755511022016,2.0,4.0,0,0
135,xF,0.4623246492985972,0.5,-0.03767535070140282,2.0,4.0,0,0
136,xF,0.46352705410821643,0.5,-0.03647294589178357,2.0,4.0,0,0
137,xF,0.4647294589178357,0.5,-0.03527054108216432,2.0,4.0,0,0
138,xF,0.46593186372745493,0.5,-0.03406813627254507,2.0,4.0,0,0
139,xF,0.4671342685370742,0.5,-0.03286573146292582,2.0,4.0,0,0
140,xF,0.4683366733466934,0.5,-0.03166332665330662,2.0,4.0,0,0
141,xF,0.46953907815631263,0.5,-0.030460921843687372,2.0,4.0,0,0
142,xF,0.4707414829659319,0.5,-0.02925851703406812,2.0,4.0,0,0
143,xF,0.4719438877755511,0.5,-0.028056112224448926,2.0,4.0,0,0
144,xF,0.4731462925851704,0.5,-0.02685370741482962,2.0,4.0,0,0
145,xF,0.4743486973947896,0.5,-0.025651302605210424,2.0,4.0,0,0
146,xF,0.4755511022044088,0.5,-0.024448897795591173,2.0,4.0,0,0
147,xF,0.4767535070140281,0.5,-0.023246492985971923,2.0,4.0,0,0
148,xF,0.4779559118236473,0.5,-0.022044088176352727,2.0,4.0,0,0
149,xF,0.4791583166332666,0.5,-0.02084168336673342,2.0,4.0,0,0
150,xF,0.4803607214428858,0.5,-0.019639278557114226,2.0,4.0,0,0
151,xF,0.481563126252505,0.5,-0.018436873747494975,2.0,4.0,0,0
152,xF,0.4827655310621243,0.5,-0.017234468937875724,2.0,4.0,0,0
153,xF,0.48396793587174347,0.5,-0.01603206412825653,2.0,4.0,0,0
154,xF,0.4851703406813628,0.5,-0.014829659318637223,2.0,4.0,0,0
155,xF,0.486372745490982,0.5,-0.013627254509018027,2.0,4.0,0,0
156,xF,0.4875751503006012,0.5,-0.012424849699398777,2.0,4.0,0,0
157,xF,0.4887775551102205,0.5,-0.011222444889779526,2.0,4.0,0,0
158,xF,0.48997995991983967,0.5,-0.01002004008016033,2.0,4.0,0,0
159,xF,0.4911823647294589,0.5,-0.00881763527054108,2.0,4.0,0,0
160,xF,0.49238476953907817,0.5,-0.007615230460921829,2.0,4.0,0,0
161,xF,0.4935871743486974,0.5,-0.006412825651302578,2.0,4.0,0,0
162,xF,0.4947895791583167,0.5,-0.0052104208416833275,2.0,4.0,0,0
163,xF,0.49599198396793587,0.5,-0.004008016032064132,2.0,4.0,0,0
164,xF,0.4971943887775551,0.5,-0.0028056112224448815,2.0,4.0,0,0
165,xF,0.49839679358717437,0.5,-0.0016032064128256307,2.0,4.0,0,0
166,xF,0.49959919839679356,0.5,-0.00040080160320643543,2.0,4.0,0,0
167,xF,0.5008016032064129,0.5,0.0008016032064128709,2.0,4.0,0,0
168,xF,0.5020040080160321,0.5,0.002004008016032066,2.0,4.0,0,0
169,xF,0.5032064128256513,0.5,0.0032064128256512614,2.0,4.0,0,0
170,xF,0.5044088176352706,0.5,0.004408817635270568,2.0,4.0,0,0
171,xF,0.5056112224448898,0.5,0.005611222444889763,2.0,4.0,0,0
172,xF,0.5068136272545091,0.5,0.006813627254509069,2.0,4.0,0,0
173,xF,0.5080160320641283,0.5,0.008016032064128265,2.0,4.0,0,0
174,xF,0.5092184368737476,0.5,0.00921843687374757,2.0,4.0,0,0
175,xF,0.5104208416833668,0.5,0.010420841683366766,2.0,4.0,0,0
176,xF,0.511623246492986,0.5,0.011623246492985961,2.0,4.0,0,0
177,xF,0.5128256513026053,0.5,0.012825651302605268,2.0,4.0,0,0
178,xF,0.5140280561122245,0.5,0.014028056112224463,2.0,4.0,0,0
179,xF,0.5152304609218437,0.5,0.015230460921843658,2.0,4.0,0,0
180,xF,0.516432865731463,0.5,0.016432865731462964,2.0,4.0,0,0
181,xF,0.5176352705410822,0.5,0.01763527054108216,2.0,4.0,0,0
182,xF,0.5188376753507014,0.5,0.018837675350701355,2.0,4.0,0,0
183,xF,0.5200400801603207,0.5,0.02004008016032066,2.0,4.0,0,0
184,xF,0.52124248496994,0.5,0.021242484969939968,2.0,4.0,0,0
185,xF,0.5224448897795592,0.5,0.022444889779559163,2.0,4.0,0,0
186,xF,0.5236472945891784,0.5,0.023647294589178358,2.0,4.0,0,0
187,xF,0.5248496993987977,0.5,0.024849699398797664,2.0,4.0,0,0
188,xF,0.5260521042084169,0.5,0.02605210420841686,2.0,4.0,0,0
189,xF,0.527254509018036,0.5,0.027254509018036055,2.0,4.0,0,0
190,xF,0.5284569138276554,0.5,0.02845691382765536,2.0,4.0,0,0
191,xF,0.5296593186372746,0.5,0.029659318637274557,2.0,4.0,0,0
192,xF,0.5308617234468938,0.5,0.030861723446893752,2.0,4.0,0,0
