,hadron,Q2,x,z,phT,1D_dependence
0,pi+,5.738888888888889,0.0065,0.349,0.5,x
1,pi+,5.738888888888889,0.009344444444444443,0.349,0.5,x
2,pi+,5.738888888888889,0.012188888888888888,0.349,0.5,x
3,pi+,5.738888888888889,0.015033333333333333,0.349,0.5,x
4,pi+,5.738888888888889,0.017877777777777777,0.349,0.5,x
5,pi+,5.738888888888889,0.020722222222222222,0.349,0.5,x
6,pi+,5.738888888888889,0.023566666666666666,0.349,0.5,x
7,pi+,5.738888888888889,0.02641111111111111,0.349,0.5,x
8,pi+,5.738888888888889,0.029255555555555555,0.349,0.5,x
9,pi+,5.738888888888889,0.032100000000000004,0.349,0.5,x
10,pi+,5.738888888888889,0.034944444444444445,0.349,0.5,x
11,pi+,5.738888888888889,0.03778888888888889,0.349,0.5,x
12,pi+,5.738888888888889,0.040633333333333334,0.349,0.5,x
13,pi+,5.738888888888889,0.043477777777777775,0.349,0.5,x
14,pi+,5.738888888888889,0.04632222222222222,0.349,0.5,x
15,pi+,5.738888888888889,0.04916666666666667,0.349,0.5,x
16,pi+,5.738888888888889,0.05201111111111111,0.349,0.5,x
17,pi+,5.738888888888889,0.05485555555555555,0.349,0.5,x
18,pi+,5.738888888888889,0.0577,0.349,0.5,x
19,pi+,5.738888888888889,0.06054444444444445,0.349,0.5,x
20,pi+,5.738888888888889,0.0633888888888889,0.349,0.5,x
21,pi+,5.738888888888889,0.06623333333333334,0.349,0.5,x
22,pi+,5.738888888888889,0.0690777777777778,0.349,0.5,x
23,pi+,5.738888888888889,0.07192222222222223,0.349,0.5,x
24,pi+,5.738888888888889,0.07476666666666668,0.349,0.5,x
25,pi+,5.738888888888889,0.07761111111111112,0.349,0.5,x
26,pi+,5.738888888888889,0.08045555555555556,0.349,0.5,x
27,pi+,5.738888888888889,0.08330000000000001,0.349,0.5,x
28,pi+,5.738888888888889,0.08614444444444445,0.349,0.5,x
29,pi+,5.738888888888889,0.0889888888888889,0.349,0.5,x
30,pi+,5.738888888888889,0.09183333333333335,0.349,0.5,x
31,pi+,5.738888888888889,0.09467777777777779,0.349,0.5,x
32,pi+,5.738888888888889,0.09752222222222223,0.349,0.5,x
33,pi+,5.738888888888889,0.10036666666666667,0.349,0.5,x
34,pi+,5.738888888888889,0.10321111111111111,0.349,0.5,x
35,pi+,5.738888888888889,0.10605555555555557,0.349,0.5,x
36,pi+,5.738888888888889,0.10890000000000001,0.349,0.5,x
37,pi+,5.738888888888889,0.11174444444444445,0.349,0.5,x
38,pi+,5.738888888888889,0.1145888888888889,0.349,0.5,x
39,pi+,5.738888888888889,0.11743333333333335,0.349,0.5,x
40,pi+,5.738888888888889,0.12027777777777779,0.349,0.5,x
41,pi+,5.738888888888889,0.12312222222222223,0.349,0.5,x
42,pi+,5.738888888888889,0.12596666666666667,0.349,0.5,x
43,pi+,5.738888888888889,0.12881111111111113,0.349,0.5,x
44,pi+,5.738888888888889,0.13165555555555558,0.349,0.5,x
45,pi+,5.738888888888889,0.1345,0.349,0.5,x
46,pi+,5.738888888888889,0.13734444444444446,0.349,0.5,x
47,pi+,5.738888888888889,0.1401888888888889,0.349,0.5,x
48,pi+,5.738888888888889,0.14303333333333335,0.349,0.5,x
49,pi+,5.738888888888889,0.1458777777777778,0.349,0.5,x
50,pi+,5.738888888888889,0.14872222222222223,0.349,0.5,x
51,pi+,5.738888888888889,0.15156666666666668,0.349,0.5,x
52,pi+,5.738888888888889,0.1544111111111111,0.349,0.5,x
53,pi+,5.738888888888889,0.15725555555555557,0.349,0.5,x
54,pi+,5.738888888888889,0.16010000000000002,0.349,0.5,x
55,pi+,5.738888888888889,0.16294444444444445,0.349,0.5,x
56,pi+,5.738888888888889,0.1657888888888889,0.349,0.5,x
57,pi+,5.738888888888889,0.16863333333333336,0.349,0.5,x
58,pi+,5.738888888888889,0.17147777777777778,0.349,0.5,x
59,pi+,5.738888888888889,0.17432222222222224,0.349,0.5,x
60,pi+,5.738888888888889,0.1771666666666667,0.349,0.5,x
61,pi+,5.738888888888889,0.18001111111111112,0.349,0.5,x
62,pi+,5.738888888888889,0.18285555555555558,0.349,0.5,x
63,pi+,5.738888888888889,0.1857,0.349,0.5,x
64,pi+,5.738888888888889,0.18854444444444446,0.349,0.5,x
65,pi+,5.738888888888889,0.19138888888888891,0.349,0.5,x
66,pi+,5.738888888888889,0.19423333333333334,0.349,0.5,x
67,pi+,5.738888888888889,0.1970777777777778,0.349,0.5,x
68,pi+,5.738888888888889,0.19992222222222222,0.349,0.5,x
69,pi+,5.738888888888889,0.20276666666666668,0.349,0.5,x
70,pi+,5.738888888888889,0.20561111111111113,0.349,0.5,x
71,pi+,5.738888888888889,0.20845555555555556,0.349,0.5,x
72,pi+,5.738888888888889,0.21130000000000002,0.349,0.5,x
73,pi+,5.738888888888889,0.21414444444444447,0.349,0.5,x
74,pi+,5.738888888888889,0.2169888888888889,0.349,0.5,x
75,pi+,5.738888888888889,0.21983333333333335,0.349,0.5,x
76,pi+,5.738888888888889,0.2226777777777778,0.349,0.5,x
77,pi+,5.738888888888889,0.22552222222222224,0.349,0.5,x
78,pi+,5.738888888888889,0.2283666666666667,0.349,0.5,x
79,pi+,5.738888888888889,0.23121111111111112,0.349,0.5,x
80,pi+,5.738888888888889,0.23405555555555557,0.349,0.5,x
81,pi+,5.738888888888889,0.23690000000000003,0.349,0.5,x
82,pi+,5.738888888888889,0.23974444444444445,0.349,0.5,x
83,pi+,5.738888888888889,0.2425888888888889,0.349,0.5,x
84,pi+,5.738888888888889,0.24543333333333334,0.349,0.5,x
85,pi+,5.738888888888889,0.2482777777777778,0.349,0.5,x
86,pi+,5.738888888888889,0.25112222222222225,0.349,0.5,x
87,pi+,5.738888888888889,0.2539666666666667,0.349,0.5,x
88,pi+,5.738888888888889,0.25681111111111116,0.349,0.5,x
89,pi+,5.738888888888889,0.2596555555555556,0.349,0.5,x
90,pi+,5.738888888888889,0.2625,0.349,0.5,x
91,pi+,5.738888888888889,0.26534444444444444,0.349,0.5,x
92,pi+,5.738888888888889,0.2681888888888889,0.349,0.5,x
93,pi+,5.738888888888889,0.27103333333333335,0.349,0.5,x
94,pi+,5.738888888888889,0.2738777777777778,0.349,0.5,x
95,pi+,5.738888888888889,0.27672222222222226,0.349,0.5,x
96,pi+,5.738888888888889,0.2795666666666667,0.349,0.5,x
97,pi+,5.738888888888889,0.2824111111111111,0.349,0.5,x
98,pi+,5.738888888888889,0.2852555555555556,0.349,0.5,x
99,pi+,5.738888888888889,0.2881,0.349,0.5,x
100,pi-,5.721111111111111,0.0064,0.3419999999999999,0.4977777777777777,x
101,pi-,5.721111111111111,0.009237373737373739,0.3419999999999999,0.4977777777777777,x
102,pi-,5.721111111111111,0.012074747474747474,0.3419999999999999,0.4977777777777777,x
103,pi-,5.721111111111111,0.014912121212121213,0.3419999999999999,0.4977777777777777,x
104,pi-,5.721111111111111,0.01774949494949495,0.3419999999999999,0.4977777777777777,x
105,pi-,5.721111111111111,0.020586868686868688,0.3419999999999999,0.4977777777777777,x
106,pi-,5.721111111111111,0.023424242424242424,0.3419999999999999,0.4977777777777777,x
107,pi-,5.721111111111111,0.026261616161616163,0.3419999999999999,0.4977777777777777,x
108,pi-,5.721111111111111,0.0290989898989899,0.3419999999999999,0.4977777777777777,x
109,pi-,5.721111111111111,0.03193636363636364,0.3419999999999999,0.4977777777777777,x
110,pi-,5.721111111111111,0.03477373737373737,0.3419999999999999,0.4977777777777777,x
111,pi-,5.721111111111111,0.037611111111111116,0.3419999999999999,0.4977777777777777,x
112,pi-,5.721111111111111,0.04044848484848485,0.3419999999999999,0.4977777777777777,x
113,pi-,5.721111111111111,0.04328585858585859,0.3419999999999999,0.4977777777777777,x
114,pi-,5.721111111111111,0.04612323232323233,0.3419999999999999,0.4977777777777777,x
115,pi-,5.721111111111111,0.048960606060606066,0.3419999999999999,0.4977777777777777,x
116,pi-,5.721111111111111,0.0517979797979798,0.3419999999999999,0.4977777777777777,x
117,pi-,5.721111111111111,0.05463535353535354,0.3419999999999999,0.4977777777777777,x
118,pi-,5.721111111111111,0.05747272727272727,0.3419999999999999,0.4977777777777777,x
119,pi-,5.721111111111111,0.060310101010101015,0.3419999999999999,0.4977777777777777,x
120,pi-,5.721111111111111,0.06314747474747474,0.3419999999999999,0.4977777777777777,x
121,pi-,5.721111111111111,0.06598484848484848,0.3419999999999999,0.4977777777777777,x
122,pi-,5.721111111111111,0.06882222222222223,0.3419999999999999,0.4977777777777777,x
123,pi-,5.721111111111111,0.07165959595959596,0.3419999999999999,0.4977777777777777,x
124,pi-,5.721111111111111,0.0744969696969697,0.3419999999999999,0.4977777777777777,x
125,pi-,5.721111111111111,0.07733434343434344,0.3419999999999999,0.4977777777777777,x
126,pi-,5.721111111111111,0.08017171717171717,0.3419999999999999,0.4977777777777777,x
127,pi-,5.721111111111111,0.08300909090909091,0.3419999999999999,0.4977777777777777,x
128,pi-,5.721111111111111,0.08584646464646466,0.3419999999999999,0.4977777777777777,x
129,pi-,5.721111111111111,0.08868383838383839,0.3419999999999999,0.4977777777777777,x
130,pi-,5.721111111111111,0.09152121212121213,0.3419999999999999,0.4977777777777777,x
131,pi-,5.721111111111111,0.09435858585858586,0.3419999999999999,0.4977777777777777,x
132,pi-,5.721111111111111,0.0971959595959596,0.3419999999999999,0.4977777777777777,x
133,pi-,5.721111111111111,0.10003333333333334,0.3419999999999999,0.4977777777777777,x
134,pi-,5.721111111111111,0.10287070707070707,0.3419999999999999,0.4977777777777777,x
135,pi-,5.721111111111111,0.1057080808080808,0.3419999999999999,0.4977777777777777,x
136,pi-,5.721111111111111,0.10854545454545454,0.3419999999999999,0.4977777777777777,x
137,pi-,5.721111111111111,0.11138282828282829,0.3419999999999999,0.4977777777777777,x
138,pi-,5.721111111111111,0.11422020202020203,0.3419999999999999,0.4977777777777777,x
139,pi-,5.721111111111111,0.11705757575757576,0.3419999999999999,0.4977777777777777,x
140,pi-,5.721111111111111,0.1198949494949495,0.3419999999999999,0.4977777777777777,x
141,pi-,5.721111111111111,0.12273232323232323,0.3419999999999999,0.4977777777777777,x
142,pi-,5.721111111111111,0.12556969696969697,0.3419999999999999,0.4977777777777777,x
143,pi-,5.721111111111111,0.1284070707070707,0.3419999999999999,0.4977777777777777,x
144,pi-,5.721111111111111,0.13124444444444444,0.3419999999999999,0.4977777777777777,x
145,pi-,5.721111111111111,0.13408181818181816,0.3419999999999999,0.4977777777777777,x
146,pi-,5.721111111111111,0.1369191919191919,0.3419999999999999,0.4977777777777777,x
147,pi-,5.721111111111111,0.13975656565656563,0.3419999999999999,0.4977777777777777,x
148,pi-,5.721111111111111,0.14259393939393938,0.3419999999999999,0.4977777777777777,x
149,pi-,5.721111111111111,0.14543131313131313,0.3419999999999999,0.4977777777777777,x
150,pi-,5.721111111111111,0.14826868686868686,0.3419999999999999,0.4977777777777777,x
151,pi-,5.721111111111111,0.1511060606060606,0.3419999999999999,0.4977777777777777,x
152,pi-,5.721111111111111,0.15394343434343433,0.3419999999999999,0.4977777777777777,x
153,pi-,5.721111111111111,0.15678080808080808,0.3419999999999999,0.4977777777777777,x
154,pi-,5.721111111111111,0.1596181818181818,0.3419999999999999,0.4977777777777777,x
155,pi-,5.721111111111111,0.16245555555555555,0.3419999999999999,0.4977777777777777,x
156,pi-,5.721111111111111,0.1652929292929293,0.3419999999999999,0.4977777777777777,x
157,pi-,5.721111111111111,0.16813030303030302,0.3419999999999999,0.4977777777777777,x
158,pi-,5.721111111111111,0.17096767676767677,0.3419999999999999,0.4977777777777777,x
159,pi-,5.721111111111111,0.1738050505050505,0.3419999999999999,0.4977777777777777,x
160,pi-,5.721111111111111,0.17664242424242424,0.3419999999999999,0.4977777777777777,x
161,pi-,5.721111111111111,0.17947979797979796,0.3419999999999999,0.4977777777777777,x
162,pi-,5.721111111111111,0.1823171717171717,0.3419999999999999,0.4977777777777777,x
163,pi-,5.721111111111111,0.18515454545454543,0.3419999999999999,0.4977777777777777,x
164,pi-,5.721111111111111,0.18799191919191918,0.3419999999999999,0.4977777777777777,x
165,pi-,5.721111111111111,0.19082929292929293,0.3419999999999999,0.4977777777777777,x
166,pi-,5.721111111111111,0.19366666666666665,0.3419999999999999,0.4977777777777777,x
167,pi-,5.721111111111111,0.1965040404040404,0.3419999999999999,0.4977777777777777,x
168,pi-,5.721111111111111,0.19934141414141412,0.3419999999999999,0.4977777777777777,x
169,pi-,5.721111111111111,0.20217878787878787,0.3419999999999999,0.4977777777777777,x
170,pi-,5.721111111111111,0.2050161616161616,0.3419999999999999,0.4977777777777777,x
171,pi-,5.721111111111111,0.20785353535353535,0.3419999999999999,0.4977777777777777,x
172,pi-,5.721111111111111,0.21069090909090907,0.3419999999999999,0.4977777777777777,x
173,pi-,5.721111111111111,0.21352828282828282,0.3419999999999999,0.4977777777777777,x
174,pi-,5.721111111111111,0.21636565656565657,0.3419999999999999,0.4977777777777777,x
175,pi-,5.721111111111111,0.2192030303030303,0.3419999999999999,0.4977777777777777,x
176,pi-,5.721111111111111,0.22204040404040404,0.3419999999999999,0.4977777777777777,x
177,pi-,5.721111111111111,0.22487777777777776,0.3419999999999999,0.4977777777777777,x
178,pi-,5.721111111111111,0.2277151515151515,0.3419999999999999,0.4977777777777777,x
179,pi-,5.721111111111111,0.23055252525252523,0.3419999999999999,0.4977777777777777,x
180,pi-,5.721111111111111,0.23338989898989898,0.3419999999999999,0.4977777777777777,x
181,pi-,5.721111111111111,0.23622727272727273,0.3419999999999999,0.4977777777777777,x
182,pi-,5.721111111111111,0.23906464646464645,0.3419999999999999,0.4977777777777777,x
183,pi-,5.721111111111111,0.2419020202020202,0.3419999999999999,0.4977777777777777,x
184,pi-,5.721111111111111,0.24473939393939392,0.3419999999999999,0.4977777777777777,x
185,pi-,5.721111111111111,0.24757676767676767,0.3419999999999999,0.4977777777777777,x
186,pi-,5.721111111111111,0.2504141414141414,0.3419999999999999,0.4977777777777777,x
187,pi-,5.721111111111111,0.25325151515151517,0.3419999999999999,0.4977777777777777,x
188,pi-,5.721111111111111,0.2560888888888889,0.3419999999999999,0.4977777777777777,x
189,pi-,5.721111111111111,0.25892626262626267,0.3419999999999999,0.4977777777777777,x
190,pi-,5.721111111111111,0.26176363636363637,0.3419999999999999,0.4977777777777777,x
191,pi-,5.721111111111111,0.2646010101010101,0.3419999999999999,0.4977777777777777,x
192,pi-,5.721111111111111,0.26743838383838386,0.3419999999999999,0.4977777777777777,x
193,pi-,5.721111111111111,0.2702757575757576,0.3419999999999999,0.4977777777777777,x
194,pi-,5.721111111111111,0.2731131313131313,0.3419999999999999,0.4977777777777777,x
195,pi-,5.721111111111111,0.27595050505050506,0.3419999999999999,0.4977777777777777,x
